,event_start_time,max_ivt,duration,area,max_prcp,centroid_lat_min,centroid_lat_max,validation_scale,event_filename,snow_no_snow
1,2014-11-03,939.8125,19,2933709.5,37.431418337605216,37.51674513381925,39.56199911660752,1,2014_lptid00139.1000.nc,0
2,2014-11-05,904.6904296875,43,2101863.25,37.57649803161621,36.97414044117068,44.47837552316945,2,2014_lptid00139.1000.nc,0
3,2014-11-21,1504.083984375,13,3758570.5,75.27773448399135,36.00578677451973,37.594910661209866,1,2014_lptid00159.1000.nc,1
4,2014-11-25,685.914794921875,19,3123314.5,75.27773448399135,38.46953228693428,41.09984315608163,1,2014_lptid00159.1000.nc,0
6,2014-12-05,2071.3408203125,25,6741418.0,162.60414377848306,22.585240078571008,33.801481712165376,1,2014_lptid00173.1000.nc,0
7,2014-12-08,1498.23388671875,103,3809559.5,162.60414377848306,31.8565508542364,37.58924875749737,4,2014_lptid00173.1000.nc,0
8,2014-12-20,1465.936767578125,19,10399612.0,49.57995196751186,26.92461737683043,36.26609471711011,1,2014_lptid00176.2000.nc,1
9,2015-01-05,953.609619140625,17,6160660.0,203.52106781005855,33.684120857180886,36.40654723676609,1,2015_lptid00187.1000.nc,0
10,2015-01-15,1257.214111328125,25,3437646.5,98.4980017344157,33.088623609068755,35.17110003311741,2,2015_lptid00193.1000.nc,1
11,2015-01-17,788.1650390625,31,2333201.75,98.4980017344157,35.50740350679062,39.694633449789734,2,2015_lptid00193.1000.nc,0
12,2015-01-23,844.24462890625,49,3891302.25,45.397054851055145,36.57400451114942,39.320415549863725,2,2015_lptid00198.1000.nc,0
13,2015-02-04,1256.53173828125,85,3673558.5,97.63950989463112,28.727368345292692,35.57326094687491,4,2015_lptid00201.1000.nc,0
14,2015-03-14,821.24072265625,55,4676521.5,83.63525366783142,28.657909089052623,38.72586875637019,3,2015_lptid00237.1000.nc,1
15,2015-03-19,674.224609375,43,2215009.0,66.54718526204427,35.54726504497273,39.840479338526954,2,2015_lptid00244.1000.nc,0
16,2015-03-25,737.8154296875,31,2387160.0,30.41223554611206,37.992221719532836,40.51027703423973,1,2015_lptid00249.1000.nc,0
17,2015-11-01,786.437255859375,7,897555.625,50.716080816168535,38.182260257110876,39.43957902330566,1,2015_lptid00118.1000.nc,1
18,2015-11-07,753.18212890625,31,3476386.5,114.14811597551618,23.32279911914282,45.03964883096321,1,2015_lptid00139.1000.nc,0
19,2015-11-12,1082.100341796875,72,3115938.0,114.14811597551618,31.40742479167258,42.93938022878521,2,2015_lptid00142.1000.nc,1
20,2015-11-17,1176.2685546875,31,2762590.75,86.13483273983002,37.732566794412094,39.45376302618968,3,2015_lptid00151.1000.nc,0
21,2015-12-03,1065.03369140625,31,1166485.0,120.1947996351454,34.39639311362595,42.48918162665531,2,2015_lptid00158.1000.nc,0
22,2015-12-05,1513.303955078125,103,5443735.5,120.1947996351454,34.64141880676041,39.260278460987436,3,2015_lptid00163.1000.nc,1
23,2016-01-12,757.10546875,19,1126655.25,112.42113284269968,29.03692308432862,31.120656239846937,1,2016_lptid00196.5000.nc,1
24,2016-01-21,1248.374755859375,43,8394454.0,126.7771155834198,28.50488029529965,31.941721633151882,3,2016_lptid00196.1000.nc,0
25,2016-01-27,1264.1416015625,43,4757205.0,126.7771155834198,32.71937030252007,35.52619230967864,3,2016_lptid00196.1000.nc,0
26,2016-02-05,1235.87890625,19,4145140.0,52.97440528869629,33.53290515145504,34.96085655901365,1,2016_lptid00216.2000.nc,0
27,2016-02-13,990.7890625,49,3972618.5,77.77468242645264,33.79249113218102,39.33599006782939,3,2016_lptid00222.1000.nc,0
28,2016-03-01,819.7509765625,13,1825606.75,52.05259704589844,34.988029107894135,37.216205329535974,1,2016_lptid00240.1000.nc,1
29,2016-03-03,1124.37890625,13,3103675.0,122.45831909179688,29.994038909697615,36.297402372621086,1,2016_lptid00240.1000.nc,0
30,2016-03-04,1055.20361328125,37,4062369.0,122.45831909179688,31.35338106254834,32.21165160546049,2,2016_lptid00241.1000.nc,0
31,2016-03-09,931.630126953125,31,3722097.25,105.71368408203124,27.388115828115627,37.83472505243931,3,2016_lptid00247.1000.nc,1
33,2016-11-07,1909.074951171875,61,7594458.0,29.712894712175643,24.43268634664176,43.721837732452386,4,2016_lptid00152.1000.nc,0
34,2016-11-11,1140.928466796875,31,1906419.75,29.712894712175643,32.134608341106414,33.03117244935078,1,2016_lptid00157.1000.nc,0
37,2017-01-16,1770.7802734375,67,8509235.0,136.77365112304688,30.70559268841441,32.74957748406581,3,2017_lptid00215.1000.nc,0
38,2017-02-08,928.89501953125,35,6006098.5,106.5180320739746,25.72302862401327,31.87843973070238,2,2017_lptid00239.1000.nc,0
39,2017-02-14,1493.776611328125,49,8786455.0,122.45831909179688,25.02169350437691,29.14276416297999,3,2017_lptid00241.1000.nc,0
40,2017-03-09,1207.642333984375,13,3915905.75,83.09850788116455,29.41573263030965,30.226504436130245,1,2017_lptid00264.1000.nc,0
41,2017-03-12,1507.68896484375,85,8465972.0,83.09850788116455,24.22147224710265,30.885475932803356,4,2017_lptid00264.1000.nc,0
42,2017-03-17,850.757080078125,31,1808294.125,83.09850788116455,32.8035239852644,36.04193567172645,2,2017_lptid00264.1000.nc,1
43,2017-03-21,1196.407958984375,25,2573168.0,38.9985191822052,26.905170551718466,27.469970205720173,1,2017_lptid00264.3000.nc,0
44,2017-03-28,1332.889404296875,37,6765481.0,38.9985191822052,32.350335392763995,34.908043759924404,2,2017_lptid00264.3000.nc,1
45,2017-04-04,1275.0869140625,25,5311754.5,53.45675086975098,34.070029615916305,35.29989335201919,2,2017_lptid00288.1000.nc,0
47,2017-11-19,858.243408203125,37,5654223.5,60.87359864371164,23.728684180479405,27.439172772138296,1,2017_lptid00147.1000.nc,1
48,2017-11-21,742.272216796875,61,5004461.5,60.87359864371164,28.294183500062893,38.43599995341826,3,2017_lptid00147.1000.nc,0
50,2017-12-19,719.2744140625,13,2414950.25,75.29653867085774,34.24772323209574,35.368763213542714,1,2017_lptid00155.3000.nc,1
51,2017-12-28,810.740478515625,37,2534068.75,101.05636088053386,30.993384847984096,36.25183180974719,2,2017_lptid00173.2000.nc,1
52,2018-01-04,1414.357177734375,37,5101427.5,77.2663505077362,24.330157309294187,33.46942830002116,1,2018_lptid00180.3000.nc,0
53,2018-01-16,1467.59521484375,13,3832043.25,77.2663505077362,33.538849310407244,35.10897909413104,1,2018_lptid00180.1000.nc,1
54,2018-01-17,993.345458984375,31,1914916.125,77.2663505077362,36.35062424777802,39.57192939514609,2,2018_lptid00180.1000.nc,0
55,2018-01-21,911.556396484375,19,1020707.75,103.08384323120116,36.326531272051184,37.301910408643685,1,2018_lptid00191.1000.nc,1
56,2018-01-23,671.64111328125,25,906107.5,103.08384323120116,37.72090158814706,38.691899126402085,1,2018_lptid00191.1000.nc,1
57,2018-01-28,837.9912109375,42,2186650.25,59.25011335100447,25.457796770655456,37.21214330505257,1,2018_lptid00199.1000.nc,0
58,2018-02-02,822.261474609375,37,5587105.0,59.25011335100447,28.67784246051491,38.09418843326428,1,2018_lptid00203.1000.nc,0
59,2018-04-05,1286.704833984375,31,9262696.0,30.60877990722656,27.35256662144526,31.154905751076008,1,2018_lptid00246.1000.nc,0
